MIN,PF,STL,PTS,FGM,FGA,BLK,BLKA,PLUS_MINUS,PFD,TOV,DREB,REB,OREB,FTM,FTA,EXP,POSS,AGE,HEIGHT,WEIGHT,BMI,USG_PCT,PIE,E_OFF_RATING,E_DEF_RATING,AST_TO,AST_RATIO,FG3M,FG3A,AST,PFD,Games Missed
104.02333333333333,3,1,42,15,46,1,4,28,1,3,11,18,7,1,2,3.0,213,26,75.0,195.0,24.370666666666665,0.188,0.054,125.8,115.2,1.67,9.3,11,32,5,1,0
315.57166666666666,40,11,80,29,71,9,9,-4,19,30,31,45,14,14,17,1.0,636,24,75.0,190.0,23.74577777777778,0.144,0.068,102.7,108.5,1.8,33.1,8,25,54,19,0
1582.805,175,68,556,232,480,59,33,-231,118,84,273,402,129,71,119,0.0,3329,21,78.0,205.0,23.687541091387246,0.161,0.084,107.1,112.5,1.43,16.3,21,113,120,118,19
2628.95,153,66,1300,457,940,25,48,-41,243,174,295,352,57,232,272,2.0,5590,26,77.0,197.0,23.358239163433968,0.198,0.105,113.9,114.3,2.59,26.9,154,420,450,243,0
2212.468333333333,166,68,924,360,719,36,59,-158,83,103,162,216,54,85,105,2.0,4520,24,77.0,200.0,23.713948389273064,0.168,0.083,111.3,113.6,2.35,21.8,119,295,242,83,6
2416.4733333333334,159,81,1367,530,1017,66,46,50,343,162,578,737,159,292,387,6.0,4909,26,81.0,255.0,27.3228166438043,0.247,0.152,109.9,108.4,1.72,17.0,15,42,278,343,11
814.26,88,33,252,90,229,2,14,69,23,15,74,89,15,23,26,0.0,1768,22,78.0,190.0,21.9543063773833,0.125,0.046,119.3,115.6,3.53,17.2,49,156,53,23,2
358.9166666666667,36,12,92,43,74,9,3,-38,21,27,88,119,31,6,15,5.0,759,27,82.0,240.0,25.09220701963117,0.126,0.119,109.9,112.5,3.19,44.3,0,0,86,21,67
1538.39,117,35,856,296,663,14,74,-92,165,97,174,234,60,184,224,1.0,3329,22,77.0,210.0,24.899645808736718,0.226,0.087,114.0,116.5,1.23,12.2,80,214,119,165,23
1715.25,137,57,532,188,432,48,43,-419,101,87,200,256,56,92,131,0.0,3687,19,80.0,195.0,21.41953125,0.139,0.057,106.5,116.9,1.26,16.1,64,185,110,101,19
791.4616666666667,89,11,174,74,131,37,13,-65,46,42,147,209,62,26,54,12.0,1642,31,80.0,255.0,28.01015625,0.106,0.065,108.2,112.4,1.26,21.1,0,0,53,46,1
875.925,89,29,268,102,215,9,15,-144,50,55,76,94,18,52,78,1.0,1894,21,75.0,185.0,23.12088888888889,0.144,0.069,106.2,112.6,3.02,35.2,12,55,166,50,0
70.91,5,1,45,18,34,2,3,-20,14,5,25,32,7,9,14,8.0,158,35,88.0,290.0,26.326188016528924,0.247,0.157,105.6,116.9,1.2,12.0,0,2,6,14,0
2008.1666666666667,189,68,1130,466,918,34,33,-5,104,91,465,607,142,98,124,8.0,4204,29,82.0,250.0,26.137715645449138,0.224,0.122,115.8,114.6,1.14,8.9,100,246,104,104,0
2401.4083333333333,179,96,1333,471,1100,26,51,127,127,112,219,272,53,151,164,6.0,5082,31,77.0,225.0,26.678191937932198,0.218,0.092,115.3,114.3,2.21,16.2,240,641,247,127,3
1478.003333333333,95,30,868,309,681,5,45,-346,116,101,130,152,22,117,149,9.0,3068,35,79.0,226.0,25.457138279121935,0.242,0.083,109.3,120.4,0.96,10.3,133,334,97,116,23
469.0283333333333,42,10,223,93,151,25,3,13,11,19,105,137,32,15,19,4.0,987,24,87.0,220.0,20.433346545118244,0.156,0.133,111.1,108.5,0.89,8.8,22,52,17,11,12
540.21,51,26,256,97,251,4,20,-65,34,44,50,55,5,18,23,2.0,1124,23,74.0,169.0,21.695945945945947,0.241,0.081,105.9,111.5,2.11,23.3,44,135,93,34,3
1766.7333333333331,127,52,964,377,735,27,37,107,102,131,178,232,54,109,134,11.0,3682,31,76.0,207.0,25.19407894736842,0.224,0.106,115.8,112.6,2.02,22.3,101,235,265,102,29
1968.253333333333,122,61,682,271,597,14,35,264,123,88,309,427,118,50,79,0.0,4120,21,76.0,205.0,24.950657894736842,0.149,0.094,117.2,111.1,3.1,27.7,90,234,273,123,2
345.1716666666667,40,11,167,65,161,8,13,-111,22,24,33,52,19,23,33,2.0,723,22,78.0,188.0,21.72320841551611,0.24,0.046,104.0,116.4,0.54,6.1,14,52,13,22,21
134.31833333333333,8,5,68,33,59,6,5,-8,8,3,19,32,13,1,7,4.0,285,27,80.0,215.0,23.61640625,0.188,0.126,100.1,105.2,3.0,12.3,1,6,9,8,76
2102.68,145,50,1332,500,1017,40,47,175,242,163,281,324,43,246,307,7.0,4327,26,80.0,190.0,20.8703125,0.269,0.126,115.4,111.5,2.23,21.7,86,242,363,242,18
2382.963333333333,184,66,1279,476,1083,42,45,-510,194,132,255,315,60,143,173,0.0,4879,21,79.0,200.0,22.528440954975164,0.235,0.083,107.7,117.8,1.33,12.0,184,493,175,194,8
112.87,4,1,54,20,54,1,5,-57,15,7,9,13,4,11,17,1.0,247,24,73.0,190.0,25.064740101332333,0.239,0.069,93.9,114.3,2.43,20.0,3,15,17,15,0
59.98333333333333,5,2,22,7,17,1,2,-11,5,1,15,18,3,6,8,2.0,133,27,80.0,225.0,24.71484375,0.148,0.143,99.4,109.5,9.0,30.0,2,5,9,5,0
584.3633333333333,43,13,241,85,218,6,13,-173,33,47,86,102,16,37,41,0.0,1236,20,77.0,235.0,27.863889357395852,0.201,0.065,109.1,123.4,1.17,16.3,34,115,55,33,1
2411.151666666666,191,43,990,366,755,189,22,278,120,79,292,409,117,110,134,15.0,5137,36,85.0,282.0,27.438892733564014,0.156,0.083,116.2,110.7,1.61,12.5,148,404,127,120,3
1865.3666666666663,148,59,726,278,582,17,41,-231,99,86,231,284,53,117,142,5.0,3993,27,76.0,202.0,24.585526315789473,0.161,0.076,114.2,119.4,2.23,20.9,53,164,192,99,15
682.3033333333333,107,25,282,109,187,28,23,-96,75,44,134,193,59,64,96,4.0,1410,25,81.0,240.0,25.715592135345222,0.172,0.096,107.2,113.9,1.05,14.4,0,4,46,75,5
881.595,74,21,302,101,230,10,16,-229,76,30,85,102,17,66,85,1.0,1829,21,78.0,175.0,20.221071663379355,0.147,0.06,104.0,115.8,1.7,14.6,34,102,51,76,10
84.00166666666667,5,0,34,9,29,1,1,21,5,0,7,10,3,8,10,1.0,176,24,77.0,205.0,24.306797099004893,0.161,0.057,117.0,103.6,0.0,8.3,8,25,3,5,0
2159.8883333333333,169,70,1013,371,850,42,33,64,40,103,208,269,61,52,59,7.0,4579,31,76.0,220.0,26.776315789473685,0.186,0.083,115.5,115.0,2.29,19.5,219,568,236,40,0
2158.536666666667,126,62,1322,484,1055,41,41,195,113,110,247,286,39,115,139,10.0,4474,32,75.0,190.0,23.74577777777778,0.244,0.118,115.4,111.8,2.77,19.9,239,557,305,113,16
2074.225,153,56,1405,524,1167,22,92,-350,194,212,235,268,33,238,274,2.0,4351,22,78.0,220.0,25.42077580539119,0.298,0.126,108.3,116.7,2.19,23.8,119,335,464,194,19
815.335,61,15,253,80,206,4,1,-30,19,16,56,84,28,21,26,1.0,1641,21,80.0,205.0,22.51796875,0.122,0.051,109.7,110.0,1.81,11.2,72,193,29,19,4
1756.5533333333333,126,47,640,241,559,29,40,66,108,77,207,281,74,77,99,4.0,3527,28,77.0,205.0,24.306797099004893,0.168,0.075,112.1,109.9,1.86,17.4,81,232,143,108,18
984.0616666666666,64,47,260,91,234,14,18,-50,44,31,72,99,27,41,54,4.0,2123,24,79.0,217.0,24.443358436148053,0.123,0.044,109.3,111.8,1.55,14.2,37,110,48,44,29
2074.85,138,45,1482,526,1190,16,78,-201,272,124,186,214,28,286,334,2.0,4321,22,75.0,210.0,26.245333333333335,0.296,0.105,110.7,116.0,1.55,11.7,144,396,192,272,16
880.3333333333334,64,30,579,212,467,17,33,-28,74,46,136,180,44,76,112,0.0,1897,19,79.0,230.0,25.90770709822144,0.255,0.11,109.6,112.2,0.72,5.5,79,220,33,74,12
1599.0383333333334,105,49,776,276,619,15,34,-77,93,57,196,251,55,86,109,4.0,3297,28,80.0,210.0,23.0671875,0.19,0.097,110.8,115.1,2.42,16.1,138,353,138,93,24
1304.0766666666666,126,42,578,208,481,11,24,-11,61,66,96,117,21,58,67,8.0,2738,29,75.0,183.0,22.870933333333333,0.185,0.083,113.1,113.0,3.11,26.3,104,267,205,61,2
1958.0833333333333,121,76,952,345,820,34,48,120,153,117,241,280,39,154,201,7.0,4071,29,78.0,205.0,23.687541091387246,0.224,0.107,113.5,110.0,2.96,25.1,108,332,346,153,14
1691.9216666666666,129,76,561,217,442,37,23,127,38,45,135,187,52,29,37,0.0,3574,20,75.0,195.0,24.370666666666665,0.127,0.071,114.9,108.9,2.67,19.2,98,234,120,38,0
1268.7516666666668,107,36,489,184,384,11,18,-353,71,47,155,180,25,35,52,6.0,2761,29,79.0,230.0,25.90770709822144,0.146,0.077,106.5,119.1,2.53,20.8,86,221,119,71,10
205.275,31,8,63,29,40,17,1,-46,10,15,53,76,23,5,6,2.0,455,23,82.0,230.0,24.046698393813205,0.11,0.116,105.9,117.1,1.4,26.9,0,1,21,10,61
37.28333333333333,5,0,6,2,10,2,1,-6,1,2,1,2,1,0,0,3.0,73,27,78.0,199.0,22.99424720578567,0.145,-0.047,102.9,112.5,0.0,0.0,2,7,0,1,0
2412.7966666666666,197,53,1357,505,953,190,65,423,250,131,519,648,129,218,275,0.0,5150,22,85.0,208.0,20.238615916955016,0.21,0.133,118.0,109.4,1.53,14.3,129,349,200,250,0
858.9066666666666,71,43,332,123,244,16,16,-109,50,52,153,194,41,58,64,5.0,1798,27,82.0,225.0,23.523944080904222,0.162,0.1,106.4,111.5,0.88,12.4,28,94,46,50,0
704.8833333333333,68,14,322,110,217,24,14,28,87,28,145,207,62,71,92,6.0,1456,31,81.0,200.0,21.429660112787683,0.167,0.106,115.3,112.4,0.82,7.5,31,94,23,87,19
719.5183333333333,80,28,230,80,210,8,11,-67,48,26,80,106,26,26,33,2.0,1487,27,77.0,190.0,22.528250969809413,0.146,0.052,110.4,113.7,1.69,14.9,44,127,44,48,4
90.53333333333332,15,2,26,11,22,0,3,-27,4,5,18,21,3,3,4,0.0,197,20,78.0,220.0,25.42077580539119,0.136,0.053,110.2,119.8,1.0,14.7,1,5,5,4,10
1530.89,108,70,533,206,467,6,12,110,58,76,207,225,18,43,52,18.0,3189,39,72.0,175.0,23.73167438271605,0.154,0.116,114.1,109.6,5.17,41.1,78,210,393,58,24
1655.565,137,42,600,222,483,35,46,-13,86,55,227,306,79,93,134,1.0,3394,23,78.0,220.0,25.42077580539119,0.152,0.084,109.8,109.0,2.4,18.1,63,164,132,86,0
871.9433333333334,72,16,347,123,264,33,12,3,79,50,215,254,39,66,94,7.0,1849,28,80.0,214.0,23.5065625,0.173,0.101,110.5,108.6,0.98,12.1,35,114,49,79,28
431.73,19,9,107,40,112,7,2,-70,5,16,62,80,18,4,7,3.0,874,25,79.0,229.0,25.795064893446565,0.131,0.066,101.4,107.3,1.25,13.2,23,82,20,5,0
1883.0866666666664,164,43,836,353,618,106,69,-17,170,74,441,776,335,130,206,9.0,3987,30,82.0,256.0,26.765020820939917,0.167,0.121,114.2,115.4,1.23,10.4,0,1,91,170,9
2881.3566666666666,186,53,1509,541,1209,18,66,-35,293,166,314,358,44,218,260,4.0,5857,24,77.0,195.0,23.12109967954124,0.224,0.099,114.2,114.5,2.44,21.4,209,556,405,293,3
752.9916666666667,48,32,211,82,215,18,19,-157,41,44,90,109,19,20,33,4.0,1540,28,78.0,205.0,23.687541091387246,0.157,0.066,105.6,115.5,2.36,27.6,27,86,104,41,54
